NaOH_added_(mL),pH,Alan_Bryce
10.1,1.7,
10.8,1.78,
11,1.79,
12.1,1.83,
13.1,1.87,
14.05,1.95,
14.95,1.97,
16.1,2.02,
17,2.06,
18.05,2.14,
19.12,2.21,
20.05,2.28,
20.85,2.37,
22,2.44,
23.1,2.55,
24,2.65,
24.9,2.8,
26.05,3.04,
27.2,3.57,
28.05,5.05,
28.5,5.4,
28.85,5.6,
29.05,5.69,
29.9,6,
30.9,6.24,
31.95,6.38,
32.95,6.53,
34,6.65,
35,6.76,
35.9,6.84,
36.9,6.95,
38,7.04,
38.9,7.14,
40,7.24,
40.1,7.27,
40.3,7.3,
40.4,7.31,
40.5,7.32,
40.7,7.34,
41,7.37,
41.4,7.43,
42,7.5,
42.5,7.58,
43,7.65,
43.1,7.68,
43.35,7.71,
43.4,7.73,
43.5,7.75,
43.6,7.78,
43.8,7.8,
43.9,7.83,
44,7.86,
44.2,7.9,
44.4,7.94,
44.5,7.98,
44.6,8.03,
44.7,8.09,
45,8.23,
45.2,8.29,
45.3,8.35,
45.4,8.43,
45.6,8.53,
45.7,8.62,
45.8,8.75,
46,8.92,
46.1,9.03,
46.12,9.16,
46.2,9.28,
46.22,9.43,
46.3,9.56,
46.4,9.66,
46.45,9.79,
46.5,9.81,
46.6,9.96,
46.7,10.29,
47,10.6,
47.5,10.6,
47.9,10.67,
48.5,10.85,
49,10.94,
49.5,11,
50,11.14,
